modelo,retriever,criterio,pergunta_idx,pergunta,resposta_gabarito,id_chunk_gold,ids_chunk_gold_todos,posicao_gold_no_ranking_natural,posicoes_todos_golds_natural,gold_foi_reposicionado_no_top10,id_chunk_removido_na_substituicao,posicao_gold_no_top10_final,posicoes_golds_no_top10,n_golds_no_top10,D_embaralhado,D_embaralhado_regra_alternativa,id_chunk_D,acertou_chunk_gold,n_posicoes_validas,posicao_min_entropia,entropia_minima,min_entropia_e_gold,max_similaridade_e_gold,concordancia_D_entropia,n_pos_conformes,n_pos_json_estrito,n_pos_formato_invalido,n_pos_janela_json_alinhada,n_inferencias,eta_tokens_ate_D,eta_tokens_total_10,tempo_segundos,vram_pico_gb,S_bertscore_p,S_bertscore_r,S_bertscore_f1,estrato
gpt-oss:20b,qwen3,regex,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",173,[173 174 176 180],1,[  1  82 112 149],False,,4,[4],1,2.0,2.0,276.0,False,8,1,0.1135169919932443,False,True,False,0,0,0,0,10,1280,6566,187.35348200798035,13.19813632965088,0.541573703289032,0.6597368121147156,0.594843864440918,A_top10_natural
gpt-oss:20b,qwen3,json,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",173,[173 174 176 180],1,[  1  82 112 149],False,,4,[4],1,2.0,2.0,276.0,False,8,1,0.000355982351607,False,True,False,10,10,0,10,10,1435,6913,187.35348200798035,13.19813632965088,0.5876433253288269,0.6255635023117065,0.6060108542442322,A_top10_natural
gpt-oss:20b,qwen3,regex,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",421,[421],1,[1],False,,9,[9],1,9.0,9.0,421.0,True,1,6,0.148862703542753,False,True,False,0,0,0,0,10,4108,4592,37.72182393074036,13.107759475708008,0.955730676651001,0.909625768661499,0.9321084022521972,A_top10_natural
gpt-oss:20b,qwen3,json,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",421,[421],1,[1],False,,9,[9],1,9.0,9.0,421.0,True,1,4,0.0003508943121914,False,True,False,10,10,0,10,10,4895,5466,37.72182393074036,13.107759475708008,0.9276940822601318,0.8041553497314453,0.8615185022354126,A_top10_natural
gpt-oss:20b,qwen3,regex,2,"Quais são os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, de acordo com o documento?","Computador com Internet, Sistema ADS Ensino (SIte Hospital Escola)",431,[431],1,[1],False,,4,[4],1,1.0,1.0,416.0,False,8,3,0.1422279560010793,False,True,False,0,0,0,0,10,506,5334,73.81446242332458,13.083842277526855,0.4536923468112945,0.5075485706329346,0.479111760854721,A_top10_natural
gpt-oss:20b,qwen3,json,2,"Quais são os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, de acordo com o documento?","Computador com Internet, Sistema ADS Ensino (SIte Hospital Escola)",431,[431],1,[1],False,,4,[4],1,4.0,4.0,431.0,True,5,3,0.000321329430335,False,True,False,10,10,0,10,10,2270,5894,73.81446242332458,13.083842277526855,1.0,1.0,1.0,A_top10_natural
gpt-oss:20b,qwen3,regex,3,"Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação?","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL)",436,[436],2,[2],False,,3,[3],1,1.0,1.0,439.0,False,3,6,0.1672068928370698,False,False,False,0,0,0,0,10,760,5043,68.09873962402344,13.152080059051514,0.3956837654113769,0.582863450050354,0.471371442079544,A_top10_natural
gpt-oss:20b,qwen3,json,3,"Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação?","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL)",436,[436],2,[2],False,,3,[3],1,3.0,3.0,436.0,True,1,9,0.000287762241669,False,False,False,10,10,0,10,10,1579,5518,68.09873962402344,13.152080059051514,0.8882747888565063,0.9348623156547546,0.9109733700752258,A_top10_natural
gpt-oss:20b,qwen3,regex,4,Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação?,"Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.",441,[441],1,[1],False,,2,[2],1,2.0,2.0,441.0,True,4,2,0.148897078608752,True,True,True,0,0,0,0,10,962,5047,67.94556331634521,13.141026496887209,0.9051867127418518,0.9454132914543152,0.924862802028656,A_top10_natural
gpt-oss:20b,qwen3,json,4,Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação?,"Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.",441,[441],1,[1],False,,2,[2],1,2.0,2.0,441.0,True,3,1,0.0002811588481108,False,True,False,10,10,0,10,10,1182,5554,67.94556331634521,13.141026496887209,1.0,1.0,1.0,A_top10_natural
gpt-oss:20b,qwen3,regex,5,"De acordo com a Resolução CNS nº 466/2012, item II.21, como é definido o termo 'ressarcimento' no contexto da compensação material em pesquisas?","“compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”",520,[520],1,[1],False,,7,[7],1,7.0,7.0,520.0,True,1,7,0.16011219957918,True,True,True,0,0,0,0,10,3291,4663,38.76471781730652,13.114797592163086,0.7773008346557617,0.9143500924110411,0.840273916721344,A_top10_natural
gpt-oss:20b,qwen3,json,5,"De acordo com a Resolução CNS nº 466/2012, item II.21, como é definido o termo 'ressarcimento' no contexto da compensação material em pesquisas?","“compensação material, exclusivamente de despesas do participante e seus acompanhantes, quando necessário, tais como transporte e alimentação”",520,[520],1,[1],False,,7,[7],1,7.0,7.0,520.0,True,1,6,0.0002171113512758,False,True,False,10,10,0,10,10,3862,5487,38.76471781730652,13.114797592163086,0.960505485534668,0.9386516213417052,0.9494528770446776,A_top10_natural
gpt-oss:20b,qwen3,regex,6,"Quais formulários são utilizados na rotina de monitorias remotas descrita no documento, e para que propósito cada um serve?",Formulário CPC – 003 Anuência para Monitoria Remota; Formulário CPC – 004 Ciência para Monitoria Remota; Formulário CPC – 003 Acordo de confidencialidade: Monitoria Remota por vídeo ou webconferência,535,[535],1,[1],False,,10,[10],1,2.0,2.0,463.0,False,6,1,0.1663649093593862,False,True,False,0,0,0,0,10,1088,5511,99.04180932044984,13.154333114624023,0.4790408313274383,0.5582453608512878,0.515619158744812,A_top10_natural
gpt-oss:20b,qwen3,json,6,"Quais formulários são utilizados na rotina de monitorias remotas descrita no documento, e para que propósito cada um serve?",Formulário CPC – 003 Anuência para Monitoria Remota; Formulário CPC – 004 Ciência para Monitoria Remota; Formulário CPC – 003 Acordo de confidencialidade: Monitoria Remota por vídeo ou webconferência,535,[535],1,[1],False,,10,[10],1,2.0,2.0,463.0,False,4,1,0.0002509270784685,False,True,False,10,10,0,10,10,1156,5716,99.04180932044984,13.154333114624023,0.4872795641422272,0.5107123851776123,0.4987208843231201,A_top10_natural
gpt-oss:20b,qwen3,regex,7,"De acordo com o documento, qual a responsabilidade do coordenador da ação de instrutoria interna referente à elaboração do projeto básico de capacitação para instrutoria interna?","Elaborar o projeto básico de capacitação para instrutoria interna, conforme capacitação validada no PDC. As demandas de capacitações extemporâneas, deverão ser justificadas e encaminhadas à UDP. Preencher, no sistema SEI, o Formulário SEI_Projeto Básico de Capacitação, conforme orientações do PDC vigente. Assinar o Projeto Básico e providenciar a assinatura do assistente, chefia da área demandante e demais responsáveis, conforme definido no PDC vigente. Emitir despacho, detalhando os papéis e perfis esperados para a execução da ação de capacitação, conforme o art. 3º da Portaria-SEI nº 2931/2022/DGP-EBSERH.",6,[6],1,[1],False,,2,[2],1,1.0,1.0,13.0,False,5,2,0.0989399754658279,True,True,False,0,0,0,0,10,481,5020,72.40314984321594,13.34553337097168,0.710101842880249,0.5218908190727234,0.6016198396682739,A_top10_natural
