modelo,retriever,criterio,pergunta_idx,pergunta,resposta_gabarito,id_chunk_gold,ids_chunk_gold_todos,posicao_gold_no_ranking_natural,posicoes_todos_golds_natural,gold_foi_reposicionado_no_top10,id_chunk_removido_na_substituicao,posicao_gold_no_top10_final,posicoes_golds_no_top10,n_golds_no_top10,D_embaralhado,D_embaralhado_regra_alternativa,id_chunk_D,acertou_chunk_gold,n_posicoes_validas,posicao_min_entropia,entropia_minima,min_entropia_e_gold,max_similaridade_e_gold,concordancia_D_entropia,n_pos_conformes,n_pos_json_estrito,n_pos_formato_invalido,n_pos_janela_json_alinhada,n_inferencias,eta_tokens_ate_D,eta_tokens_total_10,tempo_segundos,vram_pico_gb,S_bertscore_p,S_bertscore_r,S_bertscore_f1,estrato
gpt-oss:20b,e5small,regex,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",173,[173 174 176 180],1,[ 1  8 12 16],False,,4,[4 5],2,2.0,2.0,161.0,False,7,3,0.1548810871716506,False,True,False,0,0,0,0,10,1084,6072,497.7048268318176,13.218988418579102,0.5442569255828857,0.6488488912582397,0.5919684767723083,A_top10_natural
gpt-oss:20b,e5small,json,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",173,[173 174 176 180],1,[ 1  8 12 16],False,,4,[4 5],2,1.0,1.0,155.0,False,8,3,0.0004453895365941,False,True,False,10,10,0,10,10,629,6344,497.7048268318176,13.218988418579102,0.6520771980285645,0.5053234696388245,0.5693964958190918,A_top10_natural
gpt-oss:20b,e5small,regex,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",421,[421],1,[1],False,,9,[9],1,9.0,9.0,421.0,True,1,5,0.1345370897148231,False,True,False,0,0,0,0,10,3781,4264,343.3436472415924,13.10922622680664,0.955730676651001,0.909625768661499,0.9321084022521972,A_top10_natural
gpt-oss:20b,e5small,json,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",421,[421],1,[1],False,,9,[9],1,9.0,9.0,421.0,True,1,6,0.0003119665873327,False,True,False,10,10,0,10,10,4549,5120,343.3436472415924,13.10922622680664,0.955730676651001,0.9096258282661438,0.932108461856842,A_top10_natural
gpt-oss:20b,e5small,regex,2,"Quais são os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, de acordo com o documento?","Computador com Internet, Sistema ADS Ensino (SIte Hospital Escola)",431,[431],2,[2],False,,8,[8],1,2.0,2.0,468.0,False,6,1,0.1598477028842766,False,False,False,0,0,0,0,10,1010,4332,565.6251831054688,13.082217693328856,0.489017903804779,0.6393929719924927,0.5541857481002808,A_top10_natural
gpt-oss:20b,e5small,json,2,"Quais são os materiais necessários para a formalização de um Estágio Optativo previamente aprovado no Hospital Escola UFPEL, de acordo com o documento?","Computador com Internet, Sistema ADS Ensino (SIte Hospital Escola)",431,[431],2,[2],False,,8,[8],1,2.0,2.0,468.0,False,5,1,0.0003484938312112,False,False,False,10,10,0,10,10,1170,4937,565.6251831054688,13.082217693328856,0.5030852556228638,0.6844200491905212,0.5799075365066528,A_top10_natural
gpt-oss:20b,e5small,regex,3,"Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação?","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL)",436,[436],3,[3],False,,1,[1],1,1.0,1.0,436.0,True,1,7,0.1549276864133249,False,False,False,0,0,0,0,10,506,3942,239.1666042804718,13.064412117004396,0.6150081157684326,0.8772910237312317,0.7231005430221558,A_top10_natural
gpt-oss:20b,e5small,json,3,"Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para o cadastro de estágios curriculares obrigatórios, incluindo a impressão dos crachás de identificação?","Computador com Internet, Sistema ADS Ensino (site do HE UFPEL)",436,[436],3,[3],False,,1,[1],1,1.0,1.0,436.0,True,1,3,0.0003147268228076,False,False,False,10,10,0,10,10,551,4797,239.1666042804718,13.064412117004396,0.8882747888565063,0.9348623752593994,0.910973310470581,A_top10_natural
gpt-oss:20b,e5small,regex,4,Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação?,"Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.",441,[441],1,[1],False,,2,[2],1,2.0,2.0,441.0,True,3,2,0.14169337005128,True,True,True,0,0,0,0,10,807,3975,95.89796447753906,13.109960079193115,0.899235725402832,0.9361966848373412,0.9173440337181092,A_top10_natural
gpt-oss:20b,e5small,json,4,Quais são os materiais necessários para o preenchimento do Sistema ADS Ensino para cadastro dos estágios optativos e impressão dos crachás de identificação?,"Computador com Internet, Sistema ADS Ensino (site do HE UFPEL); Impressora Ink Jet ou Laser colorida; Papel A4; Plástico Polaseal para plastificação do crachá.",441,[441],1,[1],False,,2,[2],1,2.0,2.0,441.0,True,3,3,0.0003074564415328,False,True,False,10,10,0,10,10,1008,4710,95.89796447753906,13.109960079193115,0.957431435585022,0.8736971616744995,0.9136497974395752,A_top10_natural
