criterio,modo,D_iter,D_iter_regra_alternativa,D_chunk,id_chunk_parada,n_inferencias,tokens_prompt_acum,tokens_total_acum,censurado_direita,censurado_limite_tokens,contexto_truncado,n_paginas_puladas,n_iter_conformes,n_iter_json_estrito,n_iter_formato_invalido,n_iter_max_tokens,similaridade_na_parada,n_paginas_enviadas,tempo_s,vram_pico_gb,modelo,retriever,pergunta_idx,pergunta,resposta_gabarito,arquivo_fonte,id_chunk_top1,similaridade_top1,S_bertscore_p,S_bertscore_r,S_bertscore_f1,id_chunk_gold,ids_chunk_gold_todos,parou_no_gold
regex,iterativo,1.0,1.0,1.0,180.0,1,994,1271,False,False,False,0,0,0,0,0,0.91269850730896,1,42.89406967163086,12.983729839324951,gpt-oss:20b,e5small,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.91269850730896,0.5816751718521118,0.7704139351844788,0.6628714799880981,173.0,[173 174 176 180],True
regex,incremental,1.0,1.0,1.0,180.0,1,994,1271,False,False,False,0,0,0,0,0,0.91269850730896,1,17.41112780570984,12.976872444152832,gpt-oss:20b,e5small,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.91269850730896,0.5816751718521118,0.7704139351844788,0.6628714799880981,173.0,[173 174 176 180],True
regex,fixo50,1.0,1.0,31.0,,1,32476,33276,False,False,True,0,0,0,0,1,,31,67.06465411186218,16.628862857818604,gpt-oss:20b,e5small,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.91269850730896,0.5630056858062744,0.7484266757965088,0.6426080465316772,173.0,[173 174 176 180],False
json,iterativo,1.0,1.0,1.0,180.0,1,1070,1286,False,False,False,0,1,1,0,0,0.91269850730896,1,14.440467596054075,12.9930682182312,gpt-oss:20b,e5small,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.91269850730896,0.6625796556472778,0.8069919347763062,0.7276902794837952,173.0,[173 174 176 180],True
json,incremental,1.0,1.0,1.0,180.0,1,1070,1286,False,False,False,0,1,1,0,0,0.91269850730896,1,13.799076795578005,12.9930682182312,gpt-oss:20b,e5small,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.91269850730896,0.6625796556472778,0.8069919347763062,0.7276902794837952,173.0,[173 174 176 180],True
json,fixo50,1.0,1.0,31.0,,1,32552,33352,False,False,True,0,1,0,0,1,,31,54.6808876991272,16.637636184692383,gpt-oss:20b,e5small,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.91269850730896,0.5753369331359863,0.7611525058746338,0.6553274989128113,173.0,[173 174 176 180],False
regex,iterativo,1.0,1.0,1.0,421.0,1,1316,1373,False,False,False,0,0,0,0,0,0.893284797668457,1,4.748337030410767,13.020246505737305,gpt-oss:20b,e5small,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",POP.GEP.010 SOLICITAÇÃO DE ESTÁGIOS OPTATIVOS.docx,421,0.893284797668457,0.955730676651001,0.9096258282661438,0.932108461856842,421.0,[421],True
regex,incremental,1.0,1.0,1.0,421.0,1,1316,1373,False,False,False,0,0,0,0,0,0.893284797668457,1,4.065350532531738,13.020246505737305,gpt-oss:20b,e5small,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",POP.GEP.010 SOLICITAÇÃO DE ESTÁGIOS OPTATIVOS.docx,421,0.893284797668457,0.955730676651001,0.9096258282661438,0.932108461856842,421.0,[421],True
regex,fixo50,1.0,1.0,35.0,,1,30845,30920,False,False,False,0,0,0,0,0,,35,10.73385453224182,16.440866947174072,gpt-oss:20b,e5small,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",POP.GEP.010 SOLICITAÇÃO DE ESTÁGIOS OPTATIVOS.docx,421,0.893284797668457,0.9327287077903748,0.8999979496002197,0.9160710573196412,421.0,[421],False
json,iterativo,1.0,1.0,1.0,421.0,1,1392,1452,False,False,False,0,1,1,0,0,0.893284797668457,1,8.754760026931763,13.0289044380188,gpt-oss:20b,e5small,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",POP.GEP.010 SOLICITAÇÃO DE ESTÁGIOS OPTATIVOS.docx,421,0.893284797668457,0.9276940226554872,0.8041553497314453,0.8615184426307678,421.0,[421],True
