criterio,modo,D_iter,D_iter_regra_alternativa,D_chunk,id_chunk_parada,n_inferencias,tokens_prompt_acum,tokens_total_acum,censurado_direita,censurado_limite_tokens,contexto_truncado,n_paginas_puladas,n_iter_conformes,n_iter_json_estrito,n_iter_formato_invalido,n_iter_max_tokens,similaridade_na_parada,n_paginas_enviadas,tempo_s,vram_pico_gb,modelo,retriever,pergunta_idx,pergunta,resposta_gabarito,arquivo_fonte,id_chunk_top1,similaridade_top1,S_bertscore_p,S_bertscore_r,S_bertscore_f1,id_chunk_gold,ids_chunk_gold_todos,parou_no_gold
regex,iterativo,1.0,1.0,1.0,180.0,1,994,1271,False,False,False,0,0,0,0,0,0.6867029666900635,1,26.06857252120972,12.983729839324951,gpt-oss:20b,qwen3,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.6867029666900635,0.5816751718521118,0.7704139351844788,0.6628714799880981,173.0,[173 174 176 180],True
regex,incremental,1.0,1.0,1.0,180.0,1,994,1271,False,False,False,0,0,0,0,0,0.6867029666900635,1,9.48859691619873,12.976872444152832,gpt-oss:20b,qwen3,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.6867029666900635,0.5816751718521118,0.7704139351844788,0.6628714799880981,173.0,[173 174 176 180],True
regex,fixo50,1.0,1.0,35.0,,1,32766,33566,False,False,True,0,0,0,0,1,,35,37.93589901924133,16.6627516746521,gpt-oss:20b,qwen3,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.6867029666900635,0.5671145915985107,0.6811860203742981,0.6189383268356323,173.0,[173 174 176 180],False
json,iterativo,1.0,1.0,1.0,180.0,1,1070,1288,False,False,False,0,1,1,0,0,0.6867029666900635,1,8.583144664764404,12.9930682182312,gpt-oss:20b,qwen3,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.6867029666900635,0.6581871509552002,0.8131453990936279,0.7275062799453735,173.0,[173 174 176 180],True
json,incremental,1.0,1.0,1.0,180.0,1,1070,1288,False,False,False,0,1,1,0,0,0.6867029666900635,1,7.631213903427124,12.9930682182312,gpt-oss:20b,qwen3,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.6867029666900635,0.6581871509552002,0.8131453990936279,0.7275062799453735,173.0,[173 174 176 180],True
json,fixo50,1.0,1.0,34.0,,1,32136,32936,False,False,True,0,1,0,0,1,,34,34.37707877159119,16.589005947113037,gpt-oss:20b,qwen3,0,"Quais formulários são mencionados no documento como disponíveis no site do HE -> Sistemas -> ADS Hospitalar -> Documentos -> USOST – Unidade de Saúde Ocupacional e Segurança do Trabalho, e para quais finalidades são utilizados?","Os formulários mencionados são o USOST-038 - Controle de acesso em espaço confinado, o USOST-028 - Inspeção de trabalho em altura, o USOST-029 - Autorização para trabalho a quente e o USOST-030 - Permissão de Entrada e Trabalho em espaços confinados – PET.",MN.USOST.001 MANUAL DE PERMISSÃO PARA O TRABALHO DE RISCO.docx,180,0.6867029666900635,0.5823715329170227,0.7763781547546387,0.665524423122406,173.0,[173 174 176 180],False
regex,iterativo,1.0,1.0,1.0,421.0,1,1316,1373,False,False,False,0,0,0,0,0,0.7570656538009644,1,2.8103435039520264,13.020246505737305,gpt-oss:20b,qwen3,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",POP.GEP.010 SOLICITAÇÃO DE ESTÁGIOS OPTATIVOS.docx,421,0.7570656538009644,0.955730676651001,0.9096258282661438,0.932108461856842,421.0,[421],True
regex,incremental,1.0,1.0,1.0,421.0,1,1316,1373,False,False,False,0,0,0,0,0,0.7570656538009644,1,2.3416481018066406,13.020246505737305,gpt-oss:20b,qwen3,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",POP.GEP.010 SOLICITAÇÃO DE ESTÁGIOS OPTATIVOS.docx,421,0.7570656538009644,0.955730676651001,0.9096258282661438,0.932108461856842,421.0,[421],True
regex,fixo50,1.0,1.0,28.0,,1,30801,30876,False,False,False,0,0,0,0,0,,28,8.21967601776123,16.435479164123535,gpt-oss:20b,qwen3,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",POP.GEP.010 SOLICITAÇÃO DE ESTÁGIOS OPTATIVOS.docx,421,0.7570656538009644,0.9327287077903748,0.8999979496002197,0.9160710573196412,421.0,[421],False
json,iterativo,1.0,1.0,1.0,421.0,1,1392,1452,False,False,False,0,1,1,0,0,0.7570656538009644,1,5.475666284561157,13.0289044380188,gpt-oss:20b,qwen3,1,"De acordo com o documento, qual é a definição de Estágio Optativo para acadêmicos de Medicina ou residentes?","Entende-se Estágio Optativo como atividade curricular obrigatória, porém em área eletiva, ou seja, escolhida pelo próprio estudante.",POP.GEP.010 SOLICITAÇÃO DE ESTÁGIOS OPTATIVOS.docx,421,0.7570656538009644,0.9276940226554872,0.8041553497314453,0.8615184426307678,421.0,[421],True
