Embedding,pergunta_idx,Modelo,Criterio,D_incremental,D_iterativo,delta_D,classificacao_D,D_censurado,F1_incremental,F1_iterativo,delta_F1,classificacao_F1,P_incremental,P_iterativo,delta_P,classificacao_P,R_incremental,R_iterativo,delta_R,classificacao_R,tokens_incremental,tokens_iterativo,tokens_fixo50,delta_tokens,eta,classificacao_eta,eta_iterativo,Dchunk_incremental,Dchunk_iterativo,Dchunk_fixo50,ninf_incremental,ninf_iterativo,tokens_prompt_incremental,tokens_prompt_iterativo,tokens_prompt_fixo50,censurado_dmax_incremental,censurado_tokens_incremental,censurado_dmax_iterativo,censurado_tokens_iterativo,censurado_dmax_fixo50,censurado_tokens_fixo50
e5small,0,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.7276902794837952,0.7276902794837952,0.0,empate,0.6625796556472778,0.6625796556472778,0.0,empate,0.8069919347763062,0.8069919347763062,0.0,empate,1286,1286,33352,0,0.9614415927080835,eta_gt_0,0.9614415927080835,1.0,1.0,31.0,1,1,1070,1070,32552,False,False,False,False,False,False
e5small,1,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.8615184426307678,0.8615184426307678,0.0,empate,0.9276940226554872,0.9276940226554872,0.0,empate,0.8041553497314453,0.8041553497314453,0.0,empate,1452,1452,30994,0,0.9531522230109053,eta_gt_0,0.9531522230109053,1.0,1.0,35.0,1,1,1392,1392,30921,False,False,False,False,False,False
e5small,2,gpt-oss:20b,json,2.0,2.0,0.0,empate,False,0.4907890260219574,0.4764150381088257,0.014373987913131714,incremental_gt_iterativo,0.4468012452125549,0.4354490935802459,0.01135215163230896,incremental_gt_iterativo,0.5443838238716125,0.5258893966674805,0.01849442720413208,incremental_gt_iterativo,4026,2972,30981,1054,0.870049385107001,eta_gt_0,0.9040702365966238,2.0,1.0,33.0,2,2,3792,2649,30897,False,False,False,False,False,False
e5small,3,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.7686070799827576,0.7686070799827576,0.0,empate,0.657440185546875,0.657440185546875,0.0,empate,0.925018846988678,0.925018846988678,0.0,empate,1619,1619,28355,0,0.9429024863339799,eta_gt_0,0.9429024863339799,1.0,1.0,38.0,1,1,1525,1525,28289,False,False,False,False,False,False
e5small,4,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.9761165976524352,0.9761165976524352,0.0,empate,0.9788233637809752,0.9788233637809752,0.0,empate,0.9734247326850892,0.9734247326850892,0.0,empate,1629,1629,29192,0,0.9441970402850096,eta_gt_0,0.9441970402850096,1.0,1.0,34.0,1,1,1520,1520,29073,False,False,False,False,False,False
e5small,5,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.8933182954788208,0.8933182954788208,0.0,empate,0.8533173203468323,0.8533173203468323,0.0,empate,0.9372540712356568,0.9372540712356568,0.0,empate,799,799,28652,0,0.9721136395365071,eta_gt_0,0.9721136395365071,1.0,1.0,46.0,1,1,728,728,28566,False,False,False,False,False,False
e5small,6,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.7082222700119019,0.7082222700119019,0.0,empate,0.6323400735855103,0.6323400735855103,0.0,empate,0.8048000931739807,0.8048000931739807,0.0,empate,1643,1643,32510,0,0.9494617040910489,eta_gt_0,0.9494617040910489,1.0,1.0,41.0,1,1,1389,1389,32137,False,False,False,False,False,False
e5small,7,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.6061083078384399,0.6061083078384399,0.0,empate,0.7486790418624878,0.7486790418624878,0.0,empate,0.5091508626937866,0.5091508626937866,0.0,empate,809,809,32759,0,0.9753044964742513,eta_gt_0,0.9753044964742513,1.0,1.0,32.0,1,1,690,690,32520,False,False,False,False,False,False
e5small,8,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.8978718519210815,0.8978718519210815,0.0,empate,0.9128541350364684,0.9128541350364684,0.0,empate,0.8833733797073364,0.8833733797073364,0.0,empate,973,973,29614,0,0.9671439184169649,eta_gt_0,0.9671439184169649,1.0,1.0,40.0,1,1,860,860,29401,False,False,False,False,False,False
e5small,9,gpt-oss:20b,json,2.0,4.0,-2.0,iterativo_gt_incremental,False,0.4767276048660278,0.8505781888961792,-0.3738505840301514,iterativo_gt_incremental,0.4657840430736542,0.7884411811828613,-0.32265713810920715,iterativo_gt_incremental,0.4881977438926697,0.9233471155166626,-0.4351493716239929,iterativo_gt_incremental,1966,8729,33048,-6763,0.9405107722101186,eta_gt_0,0.7358690389736142,2.0,1.0,43.0,2,4,1704,8337,32248,False,False,False,False,False,False
e5small,10,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.6755656003952026,0.6755656003952026,0.0,empate,0.6874717473983765,0.6874717473983765,0.0,empate,0.6640647649765015,0.6640647649765015,0.0,empate,1370,1370,27934,0,0.9509558244433307,eta_gt_0,0.9509558244433307,1.0,1.0,43.0,1,1,1273,1273,27761,False,False,False,False,False,False
e5small,11,gpt-oss:20b,json,24.0,24.0,0.0,empate,False,0.5802754759788513,0.63216632604599,-0.05189085006713867,iterativo_gt_incremental,0.5356870889663696,0.6169791221618652,-0.0812920331954956,iterativo_gt_incremental,0.6329606175422668,0.6481200456619263,-0.015159428119659424,iterativo_gt_incremental,285102,34300,32669,250802,-7.726988888548776,eta_lt_0,-0.049925005356760144,20.0,1.0,40.0,24,24,283644,33149,32288,False,False,False,False,False,False
e5small,12,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.5310930609703064,0.5310930609703064,0.0,empate,0.4808935821056366,0.4808935821056366,0.0,empate,0.5929945707321167,0.5929945707321167,0.0,empate,1471,1471,28955,0,0.9491970298739423,eta_gt_0,0.9491970298739423,1.0,1.0,47.0,1,1,1272,1272,28670,False,False,False,False,False,False
e5small,13,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.8881480097770691,0.8881480097770691,0.0,empate,0.8596053123474121,0.8596053123474121,0.0,empate,0.9186511635780334,0.9186512231826782,-5.960464477539063e-08,iterativo_gt_incremental,770,770,30186,0,0.9744914861193931,eta_gt_0,0.9744914861193931,1.0,1.0,28.0,1,1,604,604,29772,False,False,False,False,False,False
e5small,14,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.7449315786361694,0.7449315786361694,0.0,empate,0.6911641359329224,0.6911641359329224,0.0,empate,0.8077700138092041,0.8077699542045593,5.960464477539063e-08,incremental_gt_iterativo,961,961,29454,0,0.9673728525836898,eta_gt_0,0.9673728525836898,1.0,1.0,41.0,1,1,635,635,28930,False,False,False,False,False,False
e5small,15,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.6941249370574951,0.6941249370574951,0.0,empate,0.8230621218681335,0.8230621218681335,0.0,empate,0.6001138687133789,0.6001138687133789,0.0,empate,703,703,29810,0,0.9764173096276417,eta_gt_0,0.9764173096276417,1.0,1.0,35.0,1,1,597,597,29725,False,False,False,False,False,False
e5small,16,gpt-oss:20b,json,2.0,2.0,0.0,empate,False,0.937433898448944,0.8339844346046448,0.1034494638442992,incremental_gt_iterativo,0.9147678017616272,0.8277081251144409,0.08705967664718628,incremental_gt_iterativo,0.9612518548965454,0.840356707572937,0.1208951473236084,incremental_gt_iterativo,1926,1494,32398,432,0.9405518859188838,eta_gt_0,0.9538860423482931,2.0,1.0,42.0,2,2,1802,1368,32314,False,False,False,False,False,False
e5small,17,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.9844442009925842,0.9844441413879396,5.960464466436832e-08,incremental_gt_iterativo,0.9907975792884828,0.9907975792884828,0.0,empate,0.9781717658042908,0.978171706199646,5.960464477539063e-08,incremental_gt_iterativo,1037,1037,32314,0,0.96790864640713,eta_gt_0,0.96790864640713,1.0,1.0,50.0,1,1,977,977,32207,False,False,False,False,False,False
e5small,18,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.972115695476532,0.9721157550811768,-5.960464477539063e-08,iterativo_gt_incremental,0.9774613976478576,0.9774613976478576,0.0,empate,0.966828227043152,0.9668282866477966,-5.960464466436832e-08,iterativo_gt_incremental,1241,1241,32894,0,0.96227275490971,eta_gt_0,0.96227275490971,1.0,1.0,47.0,1,1,1136,1136,32742,False,False,False,False,False,False
e5small,19,gpt-oss:20b,json,2.0,2.0,0.0,empate,False,0.7219688892364502,0.5280797481536865,0.19388914108276367,incremental_gt_iterativo,0.7073909044265747,0.5503289103507996,0.15706199407577515,incremental_gt_iterativo,0.737160325050354,0.5075596570968628,0.2296006679534912,incremental_gt_iterativo,1898,1456,27212,442,0.9302513596942525,eta_gt_0,0.9464941937380568,2.0,1.0,49.0,2,2,1784,1350,27133,False,False,False,False,False,False
e5small,20,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.985103189945221,0.985103189945221,0.0,empate,0.9896615743637084,0.9896615743637084,0.0,empate,0.9805866479873656,0.9805866479873656,0.0,empate,848,848,27158,0,0.9687753148243612,eta_gt_0,0.9687753148243612,1.0,1.0,45.0,1,1,795,795,27079,False,False,False,False,False,False
e5small,21,gpt-oss:20b,json,18.0,29.0,-11.0,iterativo_gt_incremental,False,0.5918991565704346,0.5930427312850952,-0.0011435747146606445,iterativo_gt_incremental,0.5914193391799927,0.6036443710327148,-0.012225031852722168,iterativo_gt_incremental,0.5923798680305481,0.5828070640563965,0.009572803974151611,incremental_gt_iterativo,129467,31870,32333,97597,-3.0041753007762964,eta_lt_0,0.01431973525500263,18.0,1.0,47.0,18,29,128158,30442,32160,False,False,False,False,False,False
e5small,22,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.9751953482627868,0.9751953482627868,0.0,empate,0.9816266298294068,0.9816266894340516,-5.960464477539063e-08,iterativo_gt_incremental,0.9688476920127868,0.9688476920127868,0.0,empate,840,840,32269,0,0.9739688245684713,eta_gt_0,0.9739688245684713,1.0,1.0,40.0,1,1,701,701,32176,False,False,False,False,False,False
e5small,23,gpt-oss:20b,json,8.0,6.0,2.0,incremental_gt_iterativo,False,0.5417332649230957,0.5082497596740723,0.03348350524902344,incremental_gt_iterativo,0.5199589133262634,0.5140801072120667,0.005878806114196777,incremental_gt_iterativo,0.5654110312461853,0.5025501847267151,0.06286084651947021,incremental_gt_iterativo,63064,11412,32322,51652,-0.9511168863312913,eta_lt_0,0.6469277891219603,8.0,1.0,32.0,8,6,62248,11045,31898,False,False,False,False,False,False
e5small,24,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.9143853783607484,0.9143853783607484,0.0,empate,0.9431402087211608,0.9431402087211608,0.0,empate,0.8873322010040283,0.8873322010040283,0.0,empate,1087,1087,29736,0,0.9634449825127791,eta_gt_0,0.9634449825127791,1.0,1.0,43.0,1,1,783,783,29395,False,False,False,False,False,False
e5small,25,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.8159065246582031,0.8159065842628479,-5.960464477539063e-08,iterativo_gt_incremental,0.9428736567497252,0.9428736567497252,0.0,empate,0.7190759778022766,0.7190760374069214,-5.960464477539063e-08,iterativo_gt_incremental,907,907,32708,0,0.9722697810933105,eta_gt_0,0.9722697810933105,1.0,1.0,43.0,1,1,813,813,32535,False,False,False,False,False,False
e5small,26,gpt-oss:20b,json,2.0,2.0,0.0,empate,False,0.7834251523017883,0.8911394476890564,-0.10771429538726807,iterativo_gt_incremental,0.7498518228530884,0.9383468627929688,-0.18849503993988037,iterativo_gt_incremental,0.820145845413208,0.848454475402832,-0.028308629989624023,iterativo_gt_incremental,2318,1713,31060,605,0.9253702511268512,eta_gt_0,0.9448486799742434,2.0,1.0,46.0,2,2,2196,1625,30943,False,False,False,False,False,False
e5small,27,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.7539294362068176,0.7539294362068176,0.0,empate,0.7483106851577759,0.7483106851577759,0.0,empate,0.7596333026885986,0.7596333026885986,0.0,empate,1114,1114,31667,0,0.9648214229323901,eta_gt_0,0.9648214229323901,1.0,1.0,46.0,1,1,864,864,31523,False,False,False,False,False,False
e5small,28,gpt-oss:20b,json,1.0,1.0,0.0,empate,False,0.8815415501594543,0.8815415501594543,0.0,empate,0.9642471075057985,0.9642471075057985,0.0,empate,0.8119028806686401,0.8119028806686401,0.0,empate,814,814,32433,0,0.9749021058798137,eta_gt_0,0.9749021058798137,1.0,1.0,39.0,1,1,662,662,32283,False,False,False,False,False,False
e5small,29,gpt-oss:20b,json,21.0,21.0,0.0,empate,False,0.9145946502685548,0.8987857699394226,0.01580888032913219,incremental_gt_iterativo,0.9051575660705566,0.8901845216751099,0.014973044395446777,incremental_gt_iterativo,0.9242307543754578,0.9075548648834229,0.016675889492034912,incremental_gt_iterativo,146874,18925,28771,127949,-4.1049320496333115,eta_lt_0,0.3422195961210942,21.0,1.0,45.0,21,21,145286,17923,28648,False,False,False,False,False,False
