retriever,modelo,criterio,pergunta_idx,n_pos,posto_entropia_media,posto_similaridade,posto_logprob_medio_referencia,posto_sonda_p_sim_norm,posto_sobreposicao_lexical,postoSUF_entropia_media,postoSUF_similaridade,postoSUF_logprob_medio_referencia,postoSUF_sonda_p_sim_norm,postoSUF_sobreposicao_lexical,estrato
e5small,gpt-oss:20b,json,0,10,5,1,2,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,1,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,2,10,7,2,1,3,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,3,10,10,3,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,4,10,8,1,1,1,1,8.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,5,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,6,10,8,1,1,2,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,7,10,8,2,9,1,1,8.0,1.0,7.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,8,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,9,10,9,10,5,2,3,9.0,4.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,10,10,10,3,3,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,11,10,10,10,1,1,1,10.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,12,10,9,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,13,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,14,10,9,1,1,1,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,15,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,16,10,10,2,1,1,2,10.0,2.0,1.0,1.0,2.0,A_top10_natural
e5small,gpt-oss:20b,json,17,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,18,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,19,10,10,4,4,3,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,20,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,21,10,10,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,22,10,9,1,1,1,2,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,23,10,10,10,1,2,2,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,24,10,9,1,1,2,1,8.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,25,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,26,10,10,2,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,27,10,9,10,9,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,28,10,9,1,1,1,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,29,10,10,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,30,10,10,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,31,10,8,3,1,4,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,32,10,7,1,1,2,2,7.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,33,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,34,10,10,1,1,2,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,35,10,1,10,7,4,1,8.0,2.0,5.0,1.0,2.0,A_top10_natural
e5small,gpt-oss:20b,json,36,10,9,3,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,37,10,8,8,10,8,8,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,38,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,39,10,7,10,2,2,2,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,40,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,41,10,9,1,1,1,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,42,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,43,10,3,3,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,44,10,10,9,1,1,1,10.0,9.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,45,10,9,1,1,1,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,46,10,10,10,1,1,1,10.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,47,10,9,7,1,2,1,8.0,2.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,48,10,3,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,49,10,2,1,2,1,1,9.0,2.0,1.0,1.0,2.0,A_top10_natural
e5small,gpt-oss:20b,json,50,10,1,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,51,10,9,10,7,2,6,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,52,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,53,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,54,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,55,10,10,4,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,56,10,6,1,9,1,2,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,57,10,8,10,1,1,1,8.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,58,10,9,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,59,10,5,2,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,60,10,8,10,1,2,2,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,61,10,9,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,62,10,10,10,1,1,1,1.0,1.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,json,63,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,64,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,65,10,10,5,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,66,10,9,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,67,10,7,3,1,2,2,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,68,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,69,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,70,8,8,1,1,1,2,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,71,10,10,1,9,2,1,9.0,1.0,9.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,72,10,10,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,json,73,10,4,1,1,1,1,10.0,1.0,2.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,0,10,6,1,2,1,1,6.0,1.0,2.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,1,10,9,1,1,1,1,9.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,2,10,8,2,1,3,1,8.0,2.0,1.0,3.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,3,10,8,3,1,1,1,8.0,3.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,4,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,5,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,6,10,2,1,1,2,1,2.0,1.0,1.0,2.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,7,10,1,2,9,1,1,1.0,2.0,9.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,8,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,9,10,9,10,5,2,3,1.0,4.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,10,10,4,3,3,1,1,4.0,2.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,11,10,10,10,1,1,1,10.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,12,10,9,10,1,1,1,9.0,10.0,1.0,1.0,1.0,B_reposicionado
e5small,gpt-oss:20b,regex,13,10,5,1,1,1,1,5.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,14,10,10,1,1,1,1,,,,,,A_top10_natural
e5small,gpt-oss:20b,regex,15,10,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,16,10,2,2,1,1,2,2.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,17,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,18,10,10,1,1,1,1,10.0,1.0,1.0,1.0,1.0,A_top10_natural
e5small,gpt-oss:20b,regex,19,10,9,4,4,3,1,2.0,1.0,1.0,1.0,1.0,A_top10_natural
